timestamp,visual pose reference
0,
500,"[[     183.63      225.78]
 [     191.26      221.74]
 [     173.39      222.94]
 [     204.56      237.48]
 [          0           0]
 [     210.52      267.32]
 [     161.01      262.88]
 [     227.84      270.29]
 [        159      253.37]
 [     249.54       275.2]
 [      197.2      246.51]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
1000,"[[     183.62      225.79]
 [     191.27      221.74]
 [     173.33      222.97]
 [     204.66      237.55]
 [          0           0]
 [     210.79      267.48]
 [     161.15      263.08]
 [     228.08      270.52]
 [     159.86      253.69]
 [     249.54      275.34]
 [     198.53       246.9]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
1500,"[[      184.4      223.15]
 [     192.74      221.24]
 [     172.19      220.87]
 [     207.26      242.16]
 [     156.64      244.05]
 [     211.95      272.21]
 [     160.39      267.55]
 [     224.64      271.99]
 [     177.77      261.56]
 [     250.23      276.48]
 [     231.45      260.55]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
2000,"[[      184.1      223.65]
 [     192.08      221.79]
 [     172.84      221.15]
 [     205.55       241.4]
 [     158.01      242.36]
 [      207.7      270.84]
 [     161.38      266.01]
 [     219.22      271.31]
 [     178.83      262.23]
 [     249.15      276.26]
 [     234.99      262.93]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
2500,"[[     184.01      224.14]
 [     190.87      221.38]
 [     173.15      221.71]
 [     202.88       237.5]
 [     158.64       240.4]
 [     205.34      266.01]
 [     161.34         262]
 [     214.63      269.23]
 [     173.96      258.86]
 [     247.04      275.06]
 [     226.14      260.01]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
3000,"[[     183.51      224.61]
 [      191.7      222.53]
 [     172.57      221.62]
 [     204.67      241.18]
 [     157.53      241.42]
 [     206.99      270.51]
 [     158.32      264.74]
 [     219.33      270.32]
 [     167.12      257.21]
 [     248.89      275.92]
 [     209.73      251.96]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
3500,"[[     184.63      223.96]
 [     192.78      221.79]
 [     172.44      221.69]
 [     206.86      241.69]
 [     156.95      244.12]
 [     210.85       271.4]
 [     159.32      266.11]
 [     222.37      272.34]
 [     173.57      259.74]
 [     249.51      276.25]
 [     225.67       257.3]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
4000,"[[     183.37      222.43]
 [     191.67      220.35]
 [     170.53      220.35]
 [     205.52      241.08]
 [     154.55      244.17]
 [     211.61      271.59]
 [     156.96      266.62]
 [     224.68       272.4]
 [     158.39      254.66]
 [      248.3      275.87]
 [     181.94      243.36]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
4500,"[[      184.2      222.29]
 [     192.68      220.62]
 [     171.11       219.8]
 [      205.7      242.26]
 [     154.09      243.95]
 [     210.13      273.49]
 [     156.19      267.63]
 [     223.06      272.78]
 [     156.35      254.22]
 [     247.85      275.69]
 [     175.28      241.66]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
